insert into userentry(username,id,datee,Attendence) values
('John','1si14cs007','2017-01-02','P'),
('John','1si14cs007','2017-01-03','P'),
('John','1si14cs007','2017-01-04','P'),
('John','1si14cs007','2017-01-05','P'),
('John','1si14cs007','2017-01-06','P'),
('John','1si14cs007','2017-01-07','P'),
('John','1si14cs007','2017-01-09','P'),
('John','1si14cs007','2017-01-10','P'),
('John','1si14cs007','2017-01-11','P'),
('John','1si14cs007','2017-01-12','P'),
('John','1si14cs007','2017-01-13','P'),
('John','1si14cs007','2017-01-14','P'),
('John','1si14cs007','2017-01-16','P'),
('John','1si14cs007','2017-01-17','P'),
('John','1si14cs007','2017-01-18','P'),
('John','1si14cs007','2017-01-19','P'),
('John','1si14cs007','2017-01-20','P'),
('John','1si14cs007','2017-01-21','P'),
('John','1si14cs007','2017-01-23','P'),
('John','1si14cs007','2017-01-24','P'),
('John','1si14cs007','2017-01-25','P'),
('John','1si14cs007','2017-01-26','P'),
('John','1si14cs007','2017-01-27','P'),
('John','1si14cs007','2017-01-28','P'),
('John','1si14cs007','2017-01-30','P'),
('John','1si14cs007','2017-01-31','P'),
('John','1si14cs007','2017-02-01','P'),
('John','1si14cs007','2017-02-02','P'),
('John','1si14cs007','2017-02-03','P'),
('John','1si14cs007','2017-02-04','P'),
('John','1si14cs007','2017-02-06','P'),
('John','1si14cs007','2017-02-07','P'),
('John','1si14cs007','2017-02-08','P'),
('John','1si14cs007','2017-02-09','P'),
('John','1si14cs007','2017-02-10','P'),
('John','1si14cs007','2017-02-11','P'),
('John','1si14cs007','2017-02-13','P'),
('John','1si14cs007','2017-02-14','P'),
('John','1si14cs007','2017-02-15','P'),
('John','1si14cs007','2017-02-16','P'),
('John','1si14cs007','2017-02-17','P'),
('John','1si14cs007','2017-02-18','P'),
('John','1si14cs007','2017-02-20','P'),
('John','1si14cs007','2017-02-21','P'),
('John','1si14cs007','2017-02-22','P'),
('John','1si14cs007','2017-02-23','P'),
('John','1si14cs007','2017-02-24','P'),
('John','1si14cs007','2017-02-25','P'),
('John','1si14cs007','2017-02-27','P'),
('John','1si14cs007','2017-02-28','P'),
('John','1si14cs007','2017-02-29','P'),
('John','1si14cs007','2017-02-30','P'),
('John','1si14cs007','2017-02-31','P'),
('John','1si14cs007','2017-03-01','P'),
('John','1si14cs007','2017-03-02','P'),
('John','1si14cs007','2017-03-03','P'),
('John','1si14cs007','2017-03-04','P'),
('John','1si14cs007','2017-03-06','P'),
('John','1si14cs007','2017-03-07','P'),
('John','1si14cs007','2017-03-08','P'),
('John','1si14cs007','2017-03-09','P'),
('John','1si14cs007','2017-03-10','P'),
('John','1si14cs007','2017-03-11','P'),
('John','1si14cs007','2017-03-13','P'),
('John','1si14cs007','2017-03-14','P'),
('John','1si14cs007','2017-03-15','P'),
('John','1si14cs007','2017-03-16','P'),
('John','1si14cs007','2017-03-17','P'),
('John','1si14cs007','2017-03-18','P'),
('John','1si14cs007','2017-03-20','P'),
('John','1si14cs007','2017-03-21','P'),
('John','1si14cs007','2017-03-22','P'),
('John','1si14cs007','2017-03-23','P'),
('John','1si14cs007','2017-03-24','P'),
('John','1si14cs007','2017-03-25','P'),
('John','1si14cs007','2017-03-27','P'),
('John','1si14cs007','2017-03-28','P'),
('John','1si14cs007','2017-03-29','P'),
('John','1si14cs007','2017-03-30','P'),
('John','1si14cs007','2017-03-31','P'),
('John','1si14cs007','2017-04-01','P'),
('John','1si14cs007','2017-04-03','P'),
('John','1si14cs007','2017-04-04','P'),
('John','1si14cs007','2017-04-05','P');

